# Source: https://github.com/fvrmatteo/oracle-synthesis-meets-equality-saturation
# License: not specified
# expression	ground_truth
~(x+y+(~(x+y+x+y))+-z)	(x+y+z)
(x&~y)+(-(~y))+(~x)+(-y)	-(x&y)
-(~y)+(x|~y)+(x|~y)+(x|y)+1+(-(x&y)-(x&y))	x-(x&y)
(~y)+(-(~x))+(~x|y)+(~x|y)+(-(x&y))+1	~(x|y)
(((((((-(x&y)-(x&y)-(x&y)-(x&y))-(x^y))+(~(x|y))+(~(x|y))+(~(x|y))+(~(x|y))+(~(x|y)))-(~(x^y)))-(~y))-(x|~y))-(~x))	~((4*x)+(3*y))
(-(~((-((-(x*y))+1+1))+1)))	x*y
-(x&y)+(x|y)+(~(x^y))-(~y)	y
-2*(~x&y)+(-(~y))+2*(~x)+(-y)+2	-2*(x|y)+1
(x^y)+(x^y)+(x^y)+(~(x|y))+(~(x|y))+(~(x|y))+(~(x|y))-(x&~y)-(x&~y)-(x&~y)-(x&~y)-(~x&y)-(~(x^y))-(x|~y)-(~x)+1+1	3*(~x+4)
3*(x&y)-(x|y)-(~(x|y))-2*(~x&y)-(~y)-(x|~y)	4*(x&y)+3
(~y)+(~y)+(~y)+(~y)+(~y)+(~x^y&~z)+(~x^y&~z)+(~x^y&~z)+(~x^y&~z)+(~x^y&~z)+(~x^y&~z)+(~x^y&~z)+(~x^y&~z)+(~x^y&~z)+(~x^y&~z)+(~x^y&~z)-(~x&y|~z)-(~x&y|~z)-(~x&y|~z)-(~x&y|~z)-(~x&y|~z)-(~x&y|~z)+(~x|y&z)+(~x|y&z)+(~x|y&z)+(x|~y|~z)+(~x&y&~z)+(~x&y&~z)-(x&y|z)-(x&y|z)-(x&y|z)-(x&y|z)-(~x&y&z)-(~x&y&z)-(x&y^z)-(x&y^z)	(((0xf*(~(x|y)))+(x|y))+1)
-x-y-y+(x&y)+(x&y)+(x&y)+(x&y)+(x&y)-(~(x|y))-(x&~y)-(~(x^y))+1	-3*(~(x&y))
5*(~(x^y))+2*(~x)-(~x|y)+2*(~(x&y))-y-(x&y)-(x|y)+1+1	7*(~(x|y))+1
3*(x^y)+4*(~(x|y))-4*(x&~y)-(~x&y)-(~(x^y))-(x|~y)-(~x)+1+1	(1-(3*x))
(x|~y)+(x|~y)+(x|~y)-(~x)-(~x)+(~(x&y))+(~(x&y))+(~(x&y))+(~(x&y))+(~(x&y))+(~(x&y))-y-(x|y)-(x^y)	((y*0xfa)+0xf9)
6*(x^y)-2*(~x&y|~z)+5*(x&y|~z)+5*(~x^y&z)-(x^y&~z)+(x^~y|~z)-8*(x|~z)-(~x&y)-(x&~y|z)-(~x|y^z)-(y&z)	(((x&(y^z))*0xfffffffffffffffb)+(((~x)&(y^z))*0x4))
-(~x&y)-(x^y)+(~(x^y))-3*x-2*y	~(5*(x|y))
-(~y)-(~y)-(~y)+(x|~y)+(x|~y)+(x|~y)+(x|~y)+(x|~y)+(x|~y)+(~x)+(~x)-(~x|y)-x-(x&~y)+1	3*(~(x^y))
((x+(-((~(y+2))<<((((~((~(x|2))|0xffffffffffffffff))&0x3f)&0x3f)&0x3f))))-3)	(x+y)
((x&((~((-x)^(~((~(x&1))|1))))+1))+y)	x+y
(((~(((-(~((~(x+(-((((~((~x)&((~x)|2)))^(~(x&((~(((~((~(((~(x&2))|x)^(~(((~(x&2))|x)|((-((-(-((~(x&2))|x)))+(-(~(-0xffffffffffffffff)))))+0x1)))))&0x1))&(-((~((~(x&2))|x))&0x1)))&0x1))+(-((~((~(x&2))|x))&0x1))))))^(~((y^(y+0xfffffffffffffffe))&0x1)))+(-y)))))&((~((x+(-((((~((~x)&((~x)|2)))^(~(x&((~(((~((~(((~(x&2))|x)^(~(((~(x&2))|x)|((-((~(x&2))|x))+0xffffffffffffffff)))))&0x1))&(-((~((~(x&2))|x))&0x1)))&0x1))+(-((~((~(x&2))|x))&0x1))))))^(~((y^(y+0xfffffffffffffffe))&0x1)))+(-y))))|2))^2))))+(-z))+0xfffffffffffffffe))+(~(-(0xffffffffffffffff+2))))+0xffffffffffffffff)	x+y+z
