49374*(x&~5148131303079159687) + 18446744073709502242*~(x&5148131303079159687) + 3735887311*x,  49374 + 3735936685*x
10297660450418051044*(x&~9016307100457696812) + 10297660446682114359*~x + 10297660450418051044*(x&9016307100457696812) + 10297660446682163733,  49374 + 3735936685*x
3735936685*x + 49374,  49374 + 3735936685*x
18446744069973565557*~(x|~280093833105966653) + 18446744073709502242*~(x^280093833105966653) + 49374*280093833105966653 + 3735887311*(x|280093833105966653),  49374 + 3735936685*x
18446744073709502242*~x + 3735887311*x,  49374 + 3735936685*x
3735887311*(x&~2901599550064024034) + 18446744069973614931*~x + 3735887311*~(x&~2901599550064024034),  49374 + 3735936685*x
18446744069973664305*(x&~300923067154768701) + 3735887311*~300923067154768701 + 18446744069973614931*~x + 3735887311*(x|300923067154768701),  49374 + 3735936685*x
3735936685*(x|~6342184798774155089) + 3735936685*(x|6342184798774155089) + 3735986059,  49374 + 3735936685*x
3735887311*~4181206871885125747 + 18446744069973614931*~x + 3735887311*4181206871885125747,  49374 + 3735936685*x
18446744066237628872*~(x|280338195717329146) + 3735936685*~280338195717329146 + 3735936685*~(x^280338195717329146) + 18446744073709502242*(x|280338195717329146),  49374 + 3735936685*x
3735936685*(x&1097195756979235332) + 18446744069973614931*~(x&~1097195756979235332) + 18446744069973664305,  49374 + 3735936685*x
18446744073709502242*~(x|4217008290214276792) + 18446744073709502242*~(x|~4217008290214276792) + 3735887311*x,  49374 + 3735936685*x
18446744066237727620*~(x|1797758580184831398) + 18446744066237727620*~(x|~1797758580184831398) + 3735887311*~(x&1797758580184831398) + 3735887311*~(x&~1797758580184831398),  49374 + 3735936685*x
18446744069973664305*~(x|~7915680948054288861) + 49374*(x&7915680948054288861) + 18446744073709502242*~(x&~7915680948054288861) + 3735887311*(x|7915680948054288861),  49374 + 3735936685*x
11504364753102263557*~(x|8258257835491852007) + 18446744073709502242*~(x|~8258257835491852007) + 11504364756838200242*x + 6942379320607238685*(x|~8258257835491852007),  49374 + 3735936685*x
10581017181040456329*~x + 2715290292107347101*x + 7865726892669045913*(x|~1569291944031601987) + 7865726892669045913*(x|1569291944031601987),  49374 + 3735936685*x
18446744069973614931*~(x|9223118878152488259) + 49374*~9223118878152488259 + 18446744073709502242*~(x&9223118878152488259) + 3735887311*(x|~9223118878152488259),  49374 + 3735936685*x
18446744073709502242*(x&~930968013393823742) + 3735936685*x + 18446744073709502242*~(x&~930968013393823742),  49374 + 3735936685*x
18446744069973614931*~(x|~8348777611806571916) + 3735936685*(x|8348777611806571916) + 49374,  49374 + 3735936685*x
18446744069973565557*~(x|4320206990357457536) + 3735936685*(x&~4320206990357457536) + 3735936685*~(x^4320206990357457536) + 18446744073709502242*(x|4320206990357457536),  49374 + 3735936685*x
3735986059*x + 18446744073709502242*(x|~7051324583354950911) + 18446744073709502242*(x|7051324583354950911),  49374 + 3735936685*x
49374*(x&6118716438297014429) + 3735887311*x + 18446744073709502242*~(x&~6118716438297014429),  49374 + 3735936685*x
18446744069973614931*~x + 18446744069973664305,  49374 + 3735936685*x
18446744069973565557*~(x|631974539106393821) + 3735936685*(x|~631974539106393821) + 18446744073709502242*(x|631974539106393821),  49374 + 3735936685*x
18446744073709502242*~(x|8555947635523333484) + 3735936685*(x&~8555947635523333484) + 18446744073709502242*(x^8555947635523333484) + 3735887311*(x&8555947635523333484),  49374 + 3735936685*x
3735887311*(x&~6258111443353346289) + 3735936685*(x&6258111443353346289) + 18446744073709502242*~(x&~6258111443353346289),  49374 + 3735936685*x
18446744069973614931*~(x|1365580165098143571) + 3735936685*(x|~1365580165098143571) + 49374,  49374 + 3735936685*x
3735936685*(x&~5701717440593017934) + 18446744073709502242*~(x&5701717440593017934) + 3735887311*(x&5701717440593017934),  49374 + 3735936685*x
18446744069973664305*~6502250361271746158 + 18446744066237727620*~x + 7471774622*~(x&6502250361271746158) + 3735887311*~(x^6502250361271746158),  49374 + 3735936685*x
3735936685*(x&~4821423465743492185) + 18446744069973614931*~(x|~4821423465743492185) + 3735936685*4821423465743492185 + 49374,  49374 + 3735936685*x
5363787087431133879*~x + 5363787091167070564*x + 5363787087431183253,  49374 + 3735936685*x
18446744066237776994*~(x|2587643942817301170) + 3735887311*~2587643942817301170 + 18446744073709502242*~x + 3735887311*~(x^2587643942817301170),  49374 + 3735936685*x
16896334078679966359*~x + 16896334082415903044*x + 16896334078680015733,  49374 + 3735936685*x
18446744066237727620*~x + 3735887311*~(x&6846774171560812285) + 3735887311*~(x&~6846774171560812285),  49374 + 3735936685*x
3735887311*~(x&5676142573622931118) + 7471823996*(x&5676142573622931118) + 18446744069973614931*~(x&~5676142573622931118),  49374 + 3735936685*x
18446744069973664305*~(x|1593496427319127182) + 18446744073709502242*~x + 3735887311*(x|~1593496427319127182),  49374 + 3735936685*x
12661575079285747600*(x&~5245242185158755873) + 12661575075549810915*~x + 5785168998159691327*~(x&5245242185158755873) + 3735887311*(x&5245242185158755873),  49374 + 3735936685*x
3735887311*~(x|4762641452969897410) + 18446744069973614931*~x + 3735887311*(x|4762641452969897410),  49374 + 3735936685*x
18446744069973664305*~1436679181516831895 + 18446744073709502242*~x + 18446744069973664305*~(x^1436679181516831895) + 7471774622*(x|~1436679181516831895),  49374 + 3735936685*x
3735887311*~(x|~5099249719768813448) + 18446744069973614931*~x + 3735887311*(x|~5099249719768813448),  49374 + 3735936685*x
3735936685*(x&~594477804075078483) + 18446744073709502242*~594477804075078483 + 18446744073709502242*~(x|~594477804075078483) + 3735887311*(x&594477804075078483),  49374 + 3735936685*x
3735887311*~(x|272801269264317371) + 3735887311*(x^272801269264317371) + 7471823996*(x&272801269264317371) + 18446744069973614931*~(x&~272801269264317371),  49374 + 3735936685*x
3735986059*~(x^155602829019369469) + 18446744073709502242*(x|~155602829019369469) + 18446744069973565557*~(x&~155602829019369469) + 3735936685*(x|155602829019369469),  49374 + 3735936685*x
18446744069973614931*~(x|5421436461069690899) + 3735887311*(x^5421436461069690899) + 7471823996*~(x^5421436461069690899) + 18446744069973614931*~(x&~5421436461069690899),  49374 + 3735936685*x
18446744069973614931*~(x|~8992170429865680787) + 3735936685*8992170429865680787 + 18446744069973614931*~(x&~8992170429865680787) + 18446744069973664305,  49374 + 3735936685*x
18446744073709502242*~(x|1219923589696791012) + 3735887311*(x&~1219923589696791012) + 3735936685*(x&1219923589696791012) + 18446744073709502242*1219923589696791012,  49374 + 3735936685*x
18446744069973565557*~5023579636284896252 + 18446744069973565557*~(x^5023579636284896252) + 7471922744*(x|~5023579636284896252) + 18446744073709502242*(x|5023579636284896252),  49374 + 3735936685*x
18446744073709502242*~9147253747438613253 + 18446744073709452868*~(x|~9147253747438613253) + 49374*(x^9147253747438613253) + 3735887311*x,  49374 + 3735936685*x
18446744069973614931*~(x|~4579555605070733505) + 3735936685*(x&4579555605070733505) + 18446744069973614931*~(x^4579555605070733505) + 18446744069973664305,  49374 + 3735936685*x
18446744073709502242*~(x|~2233313156135411598) + 3735936685*(x^2233313156135411598) + 18446744069973614931*~(x&2233313156135411598) + 3735887311*(x|~2233313156135411598),  49374 + 3735936685*x
18446744069973614931*~x + 18446744069973664305*5158544509256352262 + 3735887311*~(x&~5158544509256352262) + 3735887311*(x|5158544509256352262),  49374 + 3735936685*x
18446744073709502242*~897298450336115123 + 3735936685*x + 18446744073709502242*897298450336115123,  49374 + 3735936685*x
3735936685*(x&6006859772204597111) + 18446744069973614931*6006859772204597111 + 3735936685*(x|6006859772204597111) + 49374,  49374 + 3735936685*x
3735936685*(x^2948825427307641615) + 3735936685*(x&2948825427307641615) + 3735936685*(x|~2948825427307641615) + 3735986059,  49374 + 3735936685*x
11207760681*(x^9070504752272607556) + 18446744066237678246*~(x&9070504752272607556) + 7471823996*~(x^9070504752272607556) + 18446744069973614931*9070504752272607556,  49374 + 3735936685*x
3735936685*(x|~841872059905935185) + 3735936685*841872059905935185 + 18446744069973614931*~(x&~841872059905935185) + 49374,  49374 + 3735936685*x
3735936685*(x&~5927597717839889141) + 3735936685*(x&5927597717839889141) + 49374,  49374 + 3735936685*x
18446744066237628872*~(x|~7928233868202064759) + 3735936685*(x^7928233868202064759) + 18446744073709502242*(x|~7928233868202064759) + 3735936685*7928233868202064759,  49374 + 3735936685*x
18446744066237678246*~(x|3140402771327038350) + 3735936685*~(x^3140402771327038350) + 18446744069973614931*3140402771327038350 + 18446744069973664305,  49374 + 3735936685*x
18446744073709502242*~(x|9214203404430977310) + 3735936685*x + 18446744073709502242*(x|9214203404430977310),  49374 + 3735936685*x
18446744069973614931*~(x|9137140628227022556) + 3735936685*~9137140628227022556 + 3735936685*(x&9137140628227022556) + 49374,  49374 + 3735936685*x
14690933934254721204*~(x|18420229477581809) + 14690933937990707263*x + 3755810139454781038*(x|~18420229477581809) + 18446744073709502242*(x|18420229477581809),  49374 + 3735936685*x
18446744066237727620*~x + 3735887311*(x^7988984454476825241) + 18446744069973664305*7988984454476825241 + 7471774622*~(x&~7988984454476825241),  49374 + 3735936685*x
3735887311*(x^4991710922825311107) + 3735936685*(x&4991710922825311107) + 3735887311*~(x^4991710922825311107) + 18446744069973614931*~(x&~4991710922825311107),  49374 + 3735936685*x
18446744069973664305*~(x|~5102680713187374733) + 18446744073709502242*(x^5102680713187374733) + 18446744073709502242*~(x&~5102680713187374733) + 3735936685*(x|5102680713187374733),  49374 + 3735936685*x
18446744069973614931*~(x|3111942672440277349) + 3735887311*~3111942672440277349 + 3735936685*(x&3111942672440277349) + 18446744073709502242*3111942672440277349,  49374 + 3735936685*x
49374*(x&4703645079882338751) + 18446744073709502242*~(x^4703645079882338751) + 3735936685*x + 18446744073709502242*(x|4703645079882338751),  49374 + 3735936685*x
18446744069973614931*~4045939797654466395 + 3735936685*(x|~4045939797654466395) + 18446744069973614931*~(x&~4045939797654466395) + 18446744069973664305,  49374 + 3735936685*x
3735986059*(x&~5909168692271382276) + 18446744073709502242*~5909168692271382276 + 18446744073709502242*(x^5909168692271382276) + 3735887311*(x&5909168692271382276),  49374 + 3735936685*x
6209390465984524386*~x + 6209390469720461071*x + 6209390465984573760,  49374 + 3735936685*x
