18446744069973614931*~(x|(~y|5148131303079159687)) + 3735936685*(y&~5148131303079159687) + 18446744069973614931*~(x&(~y|5148131303079159687)) + 18446744069973664305,  49374 + 3735936685*x
18446744055029917565*(~(x|9016307100457696812)|(9016307100457696812^z)) + 11207760681*~(x&9016307100457696812) + 7471823996*(z&(x|~9016307100457696812)) + 7471873370*(9016307100457696812^(~x|(9016307100457696812^z))) + 18446744066237678246*(~(x^9016307100457696812)|(x^z)) + 18446744040086220199*(z^~(x|(9016307100457696812&z))) + 18446744062501790935*((9016307100457696812&z)|(x&(9016307100457696812|z))) + 41095155413*(9016307100457696812|~(x^z)),  49374 + 3735936685*x
3735837937*(9058748489721462462^~(x&(~9058748489721462462&z))) + 98748*((9058748489721462462&z)^~(~x&(9058748489721462462^z))) + 18446744073709502242*(z^~(~x&(~9058748489721462462|z))) + 18446744073709502242*(z^~(~x|(~9058748489721462462&z))) + 3735837937*(x&(9058748489721462462|z)) + 3736035433*((x&z)^(x^(9058748489721462462&z))) + 18446744073709354120*((x&9058748489721462462)|~(9058748489721462462^z)) + 18446744069973763053*(~(x^9058748489721462462)|(x^z)),  49374 + 3735936685*x
18446744073709502242*((x^y)|(x^2901599550064024034)) + 18446744073709502242*(~(x^y)&~(x^2901599550064024034)) + 3735936685*x,  49374 + 3735936685*x
3735936685*(~300923067154768701&~(x^y)) + 18446744066237678246*(y&~300923067154768701) + 3735887311*((x|~y)&~(x^(y^300923067154768701))) + 18446744066237727620*~(x|(y^300923067154768701)) + 3735936685*(y&~(x&300923067154768701)) + 18446744073709502242*(~x&(~y|300923067154768701)) + 3735887311*(y^(x&~300923067154768701)),  49374 + 3735936685*x
18446744058765903624*(~6342184798774155089&(x^y)) + 7471823996*(6342184798774155089^(x|(y|6342184798774155089))) + 11207711307*(~(x&y)&(x^(y^6342184798774155089))) + 11207760681*(x&(~y&6342184798774155089)) + 18446744066237727620*(y^6342184798774155089) + 18446744069973614931*((y&~6342184798774155089)^(~x|(y^6342184798774155089))) + 3735887311*(y|~(x^6342184798774155089)),  49374 + 3735936685*x
7471873370*~(x|z) + 18446744069973664305*(z^(x|4181206871885125747)) + 18446744069973614931*((x|~4181206871885125747)&~(x^(4181206871885125747^z))) + 11207760681*((x&z)^(x^(~4181206871885125747&z))) + 7471873370*(~x&(4181206871885125747&z)) + 18446744069973565557*~(x&(4181206871885125747|z)) + 18446744069973614931*(~(x|~4181206871885125747)|(4181206871885125747^z)) + 3735887311*(4181206871885125747&(x|~z)),  49374 + 3735936685*x
18446744073709502242*~(x|(y^280338195717329146)) + 3735936685*((x|y)&(x^(y^280338195717329146))) + 18446744069973614931*(~(x|y)|(x^(y^280338195717329146))) + 3735936685*(x|~y) + 18446744073709502242*(x|(y^280338195717329146)),  49374 + 3735936685*x
18446744073709502242*~(x|z) + 3735887311*(~4658999828566178564&(x^z)) + 18446744073709502242*(~(x&4658999828566178564)&(x^(4658999828566178564^z))) + 49374*(z^~(x&(4658999828566178564&z))) + 7471725248*(x&(4658999828566178564|z)) + 18446744069973713679*((x&4658999828566178564)|~(4658999828566178564|~z)) + 18446744073709502242*(4658999828566178564^~(x|(4658999828566178564&z))),  49374 + 3735936685*x
3735887311*(x&~y) + 3735887311*(y^~(~x|(y^8366503040399953536))) + 7471774622*~(x|~8366503040399953536) + 18446744066237727620*~x + 3735887311*(~(x|~y)|~(x^(y^8366503040399953536))) + 11207661933*(~(x^y)&~(x^8366503040399953536)) + 18446744069973664305*(~(x&~y)&~(y^8366503040399953536)) + 18446744069973664305*~(~x&(y^8366503040399953536)),  49374 + 3735936685*x
13785207080723584135*~(x|(y&1354224115070454276)) + 6992305491346870190*~(~x|(y&1354224115070454276)) + 2330768494625015398*(y&(x^1354224115070454276)) + 13785207080723584135*(~x&(y|1354224115070454276)) + 16115975579084536218*~(~x|(~y&1354224115070454276)) + 9323073985971885588*(~x|(y&1354224115070454276)) + 16115975579084536218*((y&1354224115070454276)|(x&(y|1354224115070454276))) + 13785207080723584135*~(~x&(y^1354224115070454276)),  49374 + 3735936685*x
18446744073709502242*(z^(~x|(~4500711164851191759|z))) + 18446744069973614931*((4500711164851191759&z)^~(x&(4500711164851191759^z))) + 3735936685*((x&z)^(x^(~4500711164851191759&z))) + 3735986059*(z^~(x&4500711164851191759)) + 18446744073709502242*(4500711164851191759^~(x|(4500711164851191759^z))) + 18446744073709502242*(z|(x&~4500711164851191759)),  49374 + 3735936685*x
8806408644715044003*(y^~(~x&(~y&7915680948054288861))) + 8806408644715093377*(7915680948054288861^~(~x&(y|7915680948054288861))) + 833926784279364862*~(x&(~y|7915680948054288861)) + 9640335432730394924*(7915680948054288861&~(x^y)) + 18446744069973614931*(7915680948054288861^(x&~y)) + 7972481856699742456*(y|~(x|~7915680948054288861)) + 9640335432730394924*(y|(x^7915680948054288861)) + 9640335432730394924*(x|(y&7915680948054288861)),  49374 + 3735936685*x
7109827858535010424*~(x|y) + 7109827858535010424*(x&~y) + 4227088367847291449*((x^y)&~(x^8258257835491852007)) + 18446744069973614931*~(x&(y&8258257835491852007)) + 15564004583021832641*(~(x^y)|(x^8258257835491852007)) + 14219655713334084163*~(x&(~y&8258257835491852007)) + 7109827858535010424*((y&8258257835491852007)|(x&(y|8258257835491852007))) + 18446744069973614931*~(x&~8258257835491852007),  49374 + 3735936685*x
