4554857727453019050*~(x|5148131303079159687) + 4554857727453019050*~(x|~5148131303079159687) + 13891886349992469251*~x,  3735936685*~x
3735936685*~(x|9016307100457696812) + 18446744069973614931*~9016307100457696812 + 3735936685*~(x&9016307100457696812),  3735936685*~x
3735936685*~(x|280093833105966653) + 3735936685*~(x|~280093833105966653),  3735936685*~x
7471873370*~(x|2901599550064024034) + 18446744069973614931*~2901599550064024034 + 3735936685*(x^2901599550064024034),  3735936685*~x
3735936685*(x^300923067154768701) + 3735936685*~(x&~300923067154768701) + 18446744069973614931*(x|300923067154768701),  3735936685*~x
18446744069973614931*x + 18446744069973614931,  3735936685*~x
3735936685*~(x|~6342184798774155089) + 18446744069973614931*6342184798774155089 + 3735936685*~(x&~6342184798774155089),  3735936685*~x
18446744069973614931*(x&4181206871885125747) + 3735936685*~(x&~4181206871885125747),  3735936685*~x
18446744069973614931*~(x|280338195717329146) + 3735936685*~(x&280338195717329146) + 3735936685*~(x&~280338195717329146) + 18446744069973614931*(x|280338195717329146),  3735936685*~x
18446744066237678246*(x&~1097195756979235332) + 3735936685*~1097195756979235332 + 3735936685*(x^1097195756979235332),  3735936685*~x
3735936685*~(x|~4217008290214276792) + 18446744069973614931*(x|4217008290214276792) + 18446744069973614931,  3735936685*~x
7920593514391967846*~x + 7920593510656031161*x + 7920593510656031161,  3735936685*~x
18446744069973614931*(x&~1797758580184831398) + 18446744069973614931*(x|~1797758580184831398) + 18446744069973614931*1797758580184831398 + 18446744066237678246,  3735936685*~x
7471873370*~7915680948054288861 + 18446744069973614931*(x|~7915680948054288861) + 7471873370*7915680948054288861 + 18446744069973614931*(x|7915680948054288861),  3735936685*~x
16742931873818366609*~(x|8258257835491852007) + 16742931873818366609*~(x|~8258257835491852007) + 16742931870082429924*x + 16742931870082429924,  3735936685*~x
7786696342876881044*(x^1569291944031601987) + 7786696342876881044*~(x^1569291944031601987) + 18446744069973614931*x + 7786696339140944359,  3735936685*~x
18446744069973614931*~(x^9223118878152488259) + 18446744069973614931*9223118878152488259 + 7471873370*~(x&~9223118878152488259),  3735936685*~x
18446744069973614931*~930968013393823742 + 7471873370*~(x&930968013393823742) + 3735936685*(x&930968013393823742) + 18446744069973614931*(x|930968013393823742),  3735936685*~x
9444634506404974821*~(x|8348777611806571916) + 9002109574776450165*~(x|~8348777611806571916) + 9002109571040513480*~(x^8348777611806571916) + 9444634502669038136*8348777611806571916,  3735936685*~x
11926868954263362868*~(x|4320206990357457536) + 11926868950527426183*x + 6519875119446188748*(x|~4320206990357457536) + 18446744069973614931,  3735936685*~x
6148914693727141662*~(x&7051324583354950911) + 12297829383718346639*~(x^7051324583354950911) + 12297829379982409954*x + 12297829383718346639*7051324583354950911,  3735936685*~x
18446744069973614931*(x&~6118716438297014429) + 3735936685*~6118716438297014429 + 3735936685*~(x|~6118716438297014429),  3735936685*~x
3735936685*(x^631974539106393821) + 3735936685*~(x^631974539106393821) + 18446744069973614931*x,  3735936685*~x
18446744069973614931*(x&~8555947635523333484) + 3735936685*~(x&8555947635523333484),  3735936685*~x
