9925453257363832303*~(y|~5148131303079159687) + 7471873370*(y^(~x|(y|5148131303079159687))) + 18446744069973614931*~y + 4260645406304891314*(y^5148131303079159687) + 3735936685*(y^(x|(y^5148131303079159687))) + 9925453264835705673*(y^~(x|(y^5148131303079159687))) + 4260645406304891314*~(x^(y&5148131303079159687)) + 4260645402568954629*~(x^(y|5148131303079159687)),  3735936685*~x
3735936685*~(9016307100457696812|z) + 18446744069973614931*(z^(x|(~9016307100457696812|z))) + 3735936685*~(x&(~9016307100457696812|z)),  3735936685*~x
3735936685*~(x&9058748489721462462) + 3735936685*(~(x^9058748489721462462)&~(x^z)) + 18446744069973614931*(~9058748489721462462|~(x^z)) + 18446744069973614931*((x|9058748489721462462)&~(9058748489721462462^z)) + 3735936685*(~(x|~9058748489721462462)|(x^(9058748489721462462^z))),  3735936685*~x
18446744069973614931*~(x|(y|2901599550064024034)) + 3735936685*(2901599550064024034^(~x|(~y|2901599550064024034))) + 18446744069973614931*~(~x&(~y|2901599550064024034)) + 3735936685*(~x|(y|2901599550064024034)),  3735936685*~x
7471873370*~(x|y) + 18446744069973614931*((x|~y)&(y^300923067154768701)) + 7471873370*(y^(x&300923067154768701)) + 18446744069973614931*(~(x|~y)|~(x^(y^300923067154768701))),  3735936685*~x
18446744062501741561*~(~x|(y|6342184798774155089)) + 3735936685*~(y|6342184798774155089) + 3735936685*(6342184798774155089^~(~x&(~y|6342184798774155089))) + 3735936685*(y^(x|~6342184798774155089)) + 18446744069973614931*~(x^(y^6342184798774155089)),  3735936685*~x
4176024578199502490*(4181206871885125747^(~x|(4181206871885125747|z))) + 3735936685*~(x|~4181206871885125747) + 10094694921046483321*((4181206871885125747&~z)^(~x|(4181206871885125747^z))) + 10094694921046483321*~(~x|(4181206871885125747^z)) + 4176024578199502490*(~(x|4181206871885125747)|~(4181206871885125747^z)) + 4176024574463565805*((x&4181206871885125747)^(x^(4181206871885125747&z))),  3735936685*~x
3735936685*~(x|(~y|280338195717329146)) + 3735936685*~(x|y) + 18446744069973614931*(x|~280338195717329146) + 3735936685*~(~x&(~y&280338195717329146)),  3735936685*~x
18446744066237678246*((x&4658999828566178564)^~(x^(~4658999828566178564|z))) + 7471873370*((x&~4658999828566178564)|(4658999828566178564^z)) + 3735936685*~(x|~z) + 18446744069973614931*(z^(x&(~4658999828566178564|z))) + 18446744069973614931*((x&4658999828566178564)|~(4658999828566178564|~z)) + 3735936685*~(~x&(~4658999828566178564&z)),  3735936685*~x
6148914682519331607*~y + 6148914693727141662*(~(x|y)|(y^8366503040399953536)) + 12297829376246473269*~(~x&(~y|8366503040399953536)) + 6148914693727141662*(8366503040399953536&(x|~y)) + 12297829368774599899*(y&(x|8366503040399953536)) + 7471873370*(y|~8366503040399953536) + 6148914693727141662*((x&y)|~(x^(y^8366503040399953536))) + 7471873370*(x|8366503040399953536),  3735936685*~x
3735936685*(~x&(y^1354224115070454276)) + 18446744069973614931*(x&(y^1354224115070454276)) + 18446744069973614931*(y&~(x^1354224115070454276)) + 3735936685*(y|~(x^1354224115070454276)),  3735936685*~x
3735936685*~(x|(~4500711164851191759|z)) + 18446744069973614931*(~(x&4500711164851191759)&(4500711164851191759^z)) + 3735936685*(~(x|~4500711164851191759)|(4500711164851191759^z)) + 18446744069973614931*(4500711164851191759|(x&z)) + 3735936685*~(x&~z),  3735936685*~x
18446744055029868191*(~y&(x^7915680948054288861)) + 18446744062501741561*(~(x&y)&~(y^7915680948054288861)) + 18679683425*~(x&(y|7915680948054288861)) + 3735936685*(~(x|y)|~(x^(y^7915680948054288861))) + 14943746740*((x|~y)&(x^(y^7915680948054288861))) + 18446744069973614931*(y^(~x&(~y|7915680948054288861))) + 18446744069973614931*(~y|~(x^7915680948054288861)) + 18446744066237678246*((y&7915680948054288861)|(~x&(y|7915680948054288861))),  3735936685*~x
3735936685*(8258257835491852007^~(~x&(y|8258257835491852007))) + 18446744069973614931*(y^~(x|(~y&8258257835491852007))) + 3735936685*((x&8258257835491852007)|(y&~8258257835491852007)) + 3735936685*((x&8258257835491852007)^~(x^(~y&8258257835491852007))) + 18446744069973614931*(x|y),  3735936685*~x
18446744069973614931*~(~x|(y|1569291944031601987)) + 3735936685*~(x&(y|1569291944031601987)),  3735936685*~x
3735936685*(~x&(9223118878152488259^z)) + 18446744069973614931*(z^~(~x&(~9223118878152488259&z))) + 3735936685*(~(x&9223118878152488259)&~(9223118878152488259^z)) + 3735936685*(9223118878152488259^(x&(9223118878152488259|z))) + 3735936685*(9223118878152488259^~(x&z)) + 3735936685*(9223118878152488259^(~x&(~9223118878152488259|z))) + 18446744069973614931*((x&z)|~(9223118878152488259|z)) + 18446744069973614931*((9223118878152488259&z)|(~x&(9223118878152488259|z))),  3735936685*~x
3735936685*(~x&(~7465980554445643485&z)) + 3735936685*~(x^(~7465980554445643485&z)) + 3735936685*~(x^7465980554445643485) + 18446744069973614931*(7465980554445643485^(~x|(~7465980554445643485&z))),  3735936685*~x
3735936685*(~(x&y)&(y^8348777611806571916)) + 18446744069973614931*(8348777611806571916^(~x&(~y|8348777611806571916))) + 3735936685*(~(x&~y)&~(y^8348777611806571916)) + 18446744069973614931*(y|(x&8348777611806571916)) + 3735936685*(y|~(x^8348777611806571916)),  3735936685*~x
18446744069973614931*((x^6189215388535967281)&(x^z)) + 3735936685*(z^(x&(6189215388535967281|z))) + 1045935080524163891*~(x^(6189215388535967281^z)) + 2091870161048327782*(z&~(x^6189215388535967281)) + 17400808993185387725*~(x^6189215388535967281) + 18446744069973614931*((x&6189215388535967281)|~(6189215388535967281|~z)) + 17400808993185387725*z + 3735936685*(~x|(~6189215388535967281|z)),  3735936685*~x
18446744066237678246*~(x|(~7319948605146180609|z)) + 18446744069973614931*((x|~7319948605146180609)&(7319948605146180609^z)) + 7471873370*((x&7319948605146180609)^(7319948605146180609|z)) + 3735936685*(7319948605146180609^~(x|~z)) + 18446744069973614931*~(~x&(~7319948605146180609|z)) + 3735936685*(x|~z) + 18446744069973614931*z,  3735936685*~x
7471873370*~(x|(y|4821844867734700116)) + 18446744069973614931*((y&4821844867734700116)^~(~x&(y^4821844867734700116))) + 3735936685*((x^y)|(x^4821844867734700116)),  3735936685*~x
6148914689991204977*(~z&~(x^7568794277043152017)) + 6148914693727141662*(7568794277043152017^~(x&(~7568794277043152017&z))) + 12297829383718346639*((x&z)^(7568794277043152017|z)) + 12297829379982409954*((7568794277043152017&~z)^(x|(7568794277043152017^z))) + 6148914693727141662*~(x&~z),  3735936685*~x
