#linear,groundtruth
-1*1111+1*~(x|1111)+1*(x&1111),1*~1111-1*(x^1111)
3*x+1*~x-2*(x&~1111),3*(x&1111)+1*~(x&1111)
2*~(x&~x)-3*~(x|~1111)-3*(x&1111),2*~1111-1*1111
4*(x|1111)-6*(x^1111)+3*(x&~1111)-3*(x&1111),1*x-2*~(x|~1111)
-1*~(x&~1111)+5*~(x^1111)+1*(x|1111)-1*(x&~1111),5*(x&1111)+4*~(x|1111)
1*~(x&~1111)-1*(x|1111)-1*~(x|1111)+1*~(x|~1111),1*(x^1111)-2*(x&~1111)
-11*~x-2*(x|~1111)+13*~(x|1111)+2*(x&~1111),9*(x&1111)-11*1111
1*~(x&~x)-1*1111+1*~(x|1111)+2*~(x|~1111),2*~x+1*(x&~1111)
-1*~(x&~1111)+1*~(x|1111)+1*(x&~1111)+1*(x&1111),-1*1111+1*x
1*(x|~1111)+2*~x-3*~(x&~x)+3*(x&1111),-2*(x^1111)+1*1111
-1*(x^1111)-1*(x|1111)-3*(x&~1111)-4*(x&1111),-5*x-2*~(x|~1111)
-2*x-1*(x|~1111)-2*~x+3*~(x|1111)+3*(x&1111),-3*(x&~1111)-2*~(x|~1111)
7*~1111-1*x+3*~(x|~1111)+1*(x&~1111)+11*(x&1111),3*1111+7*(x|~1111)
7*1111+1*x-8*~(x|~1111)-2*(x&~1111)-8*(x&1111),-1*(x^1111)
5*~(x^1111)-11*x-6*~(x&1111)+1*~x+6*(x&1111),-17*(x&~1111)-5*~(x|~1111)
5*1111+1*~(x&~1111)-1*~(x|1111)-17*~(x|~1111)-17*(x&1111),-11*(x|1111)+11*(x&~1111)
-1*~(x&~1111)+7*~x-7*~(x&1111)+1*~1111+6*(x&~1111),-1*1111
1*~(x&~x)+3*~x-11*~(x|1111)-4*~(x|~1111)-1*(x&1111),-7*~1111+8*(x&~1111)
1*~(x&~1111)-7*(x|~1111)-1*(x^1111)+6*~(x|1111)+8*(x&~1111),-6*(x&1111)
3*(x|~1111)-3*~(x&1111)-1*~(x|1111)+2*~(x|~1111)-4*(x&1111),-1*~(x&~1111)
3*(x|1111)+1*x-1*~(x&1111)-4*(x&~1111)-5*(x&1111),-1*(x|~1111)+2*~(x|~1111)
3*~1111+1*x-3*~(x|1111)-1*~(x|~1111)-4*(x&~1111),-1*1111+2*(x&1111)
1*~(x^1111)-3*(x|1111)-1*~(x|1111)+3*(x&~1111)+1*(x&1111),-2*~(x|~1111)-1*1111
3*~(x&1111)-1*(x^1111)-2*~(x&~1111)-2*(x&~1111)+2*(x&1111),1*~(x|1111)
7*~(x&~1111)+2*(x^1111)-11*~(x|1111)-9*~(x|~1111)-6*(x&~1111),-4*(x|~1111)+11*(x&1111)
-1*~x-6*(x|~1111)+7*~(x|1111)+2*(x&~1111)+6*(x&1111),3*~(x|~1111)-4*(x^1111)
-1*~(x^1111)+1*(x|~1111)-1*~(x&1111)+1*~(x|1111)+2*~(x|~1111),1*(x^1111)-1*(x&~1111)
1*(x|~1111)+5*~1111-1*~(x|~1111)-6*(x&~1111)-2*(x&1111),6*~(x|1111)-1*1111
-1*~(x&~1111)+7*1111+2*~x+8*(x&~1111)-6*(x&1111),7*(x^1111)+1*~(x&1111)
-1*~1111+2*(x^1111)-3*~(x|~1111)-2*(x&~1111)-1*(x&1111),-1*~(x&~x)
